User_ID,Friend_ID,Category,Interaction_Type,Duration_Minutes,Mood_Before,Mood_After,Timestamp,Day_of_Week,Previous_Interaction_Gap,Preferred_Time_Slot,Availability_Window,Interaction_Frequency_Score,Social_Preference_Score,Urgency_Score,Best_Time_to_Meet
User_1,Work_2,Work,Call,54,1,3,2024-10-20 10:08:46,Sunday,27,Night,9PM-12AM,0.32,6,3,Night
User_1,Family_10,Family,Family Meetup,11,9,10,2024-10-17 06:18:46,Thursday,60,Evening,7AM-10AM,0.94,2,5,Evening
User_1,Family_10,Family,Call,57,1,1,2024-11-09 14:37:46,Saturday,3,Night,5PM-9PM,0.74,2,1,Night
User_1,Family_10,Family,Call,85,10,9,2025-02-15 17:07:46,Saturday,45,Afternoon,12PM-3PM,0.56,2,4,Afternoon
User_1,Friend_16,Friend,Call,100,6,7,2025-01-21 16:51:46,Tuesday,30,Afternoon,9PM-12AM,0.78,2,3,Afternoon
User_1,Work_2,Work,Call,33,8,9,2024-10-15 09:02:46,Tuesday,18,Night,9PM-12AM,0.44,1,2,Night
User_1,Work_7,Work,Email,7,5,5,2024-09-18 19:29:46,Wednesday,11,Night,12PM-3PM,0.99,6,1,Afternoon
User_1,Work_8,Work,Call,77,1,3,2024-12-26 21:19:46,Thursday,19,Evening,9PM-12AM,0.22,6,2,Evening
User_1,Family_8,Family,Text,9,7,7,2024-09-13 04:22:46,Friday,3,Afternoon,12PM-3PM,0.85,6,1,Afternoon
User_1,Friend_9,Friend,Text,5,4,3,2025-01-20 03:14:46,Monday,4,Morning,9PM-12AM,0.45,3,1,Morning
User_1,Friend_11,Friend,Text,5,3,2,2024-09-04 17:59:46,Wednesday,14,Night,7AM-10AM,0.88,3,1,Night
User_1,Work_1,Work,Email,8,10,9,2024-10-29 02:32:46,Tuesday,22,Night,7AM-10AM,0.43,5,2,Afternoon
User_1,Work_4,Work,Networking,60,2,4,2024-08-27 17:22:46,Tuesday,33,Morning,5PM-9PM,0.5,7,3,Morning
User_1,Friend_5,Friend,Gaming Session,36,7,9,2024-12-07 08:11:46,Saturday,37,Evening,7AM-10AM,0.17,3,4,Evening
User_1,Friend_13,Friend,Text,10,5,4,2024-10-17 10:01:46,Thursday,59,Afternoon,7AM-10AM,0.9,1,5,Afternoon
User_1,Friend_13,Friend,Text,2,5,7,2025-01-24 10:23:46,Friday,33,Morning,7AM-10AM,0.71,8,3,Morning
User_1,Family_15,Family,Video Call,106,3,5,2024-11-07 04:56:46,Thursday,1,Night,5PM-9PM,0.33,7,1,Night
User_1,Friend_1,Friend,Gaming Session,74,5,5,2024-11-04 22:27:46,Monday,31,Night,7AM-10AM,0.91,2,3,Night
User_1,Family_11,Family,Video Call,96,3,4,2025-01-13 10:35:46,Monday,47,Morning,7AM-10AM,0.51,4,5,Morning
User_1,Work_3,Work,Call,64,5,4,2024-11-20 17:34:46,Wednesday,43,Afternoon,7AM-10AM,0.97,3,4,Morning
User_1,Friend_1,Friend,Call,44,10,9,2025-01-29 22:09:46,Wednesday,26,Morning,12PM-3PM,0.15,6,3,Morning
User_1,Work_13,Work,Networking,48,3,4,2025-02-01 00:06:46,Saturday,44,Night,5PM-9PM,0.79,7,4,Night
User_1,Work_6,Work,Call,66,4,5,2024-12-20 02:42:46,Friday,45,Night,7AM-10AM,0.11,9,4,Night
User_1,Friend_12,Friend,Casual Hangout,90,3,4,2024-10-07 01:19:46,Monday,19,Morning,7AM-10AM,1.0,7,2,Morning
User_1,Friend_2,Friend,Text,10,1,2,2024-12-07 07:02:46,Saturday,58,Afternoon,5PM-9PM,0.14,10,5,Afternoon
User_1,Family_13,Family,Family Meetup,108,7,9,2024-12-08 07:16:46,Sunday,28,Afternoon,9PM-12AM,0.26,4,3,Afternoon
User_1,Family_14,Family,Family Meetup,45,7,7,2024-11-14 15:03:46,Thursday,46,Evening,7AM-10AM,0.38,6,5,Night
User_1,Friend_16,Friend,Text,8,5,6,2024-12-06 16:37:46,Friday,57,Afternoon,7AM-10AM,0.55,1,5,Afternoon
User_1,Work_3,Work,Work Meeting,14,1,3,2024-12-25 08:33:46,Wednesday,15,Night,7AM-10AM,0.48,3,2,Night
User_1,Friend_14,Friend,Gaming Session,63,10,10,2024-12-14 01:49:46,Saturday,11,Evening,7AM-10AM,0.98,9,1,Afternoon
User_1,Friend_7,Friend,Gaming Session,16,5,6,2025-01-06 17:27:46,Monday,46,Morning,12PM-3PM,0.13,3,5,Afternoon
User_1,Friend_13,Friend,Text,10,3,2,2024-12-16 13:53:46,Monday,36,Morning,9PM-12AM,0.68,2,4,Morning
User_1,Work_5,Work,Networking,106,6,7,2024-12-09 21:47:46,Monday,43,Evening,7AM-10AM,0.55,8,4,Evening
User_1,Friend_3,Friend,Call,84,7,6,2024-09-09 20:32:46,Monday,8,Morning,5PM-9PM,0.9,3,1,Morning
User_1,Work_11,Work,Email,7,6,6,2025-01-15 23:20:46,Wednesday,38,Morning,12PM-3PM,0.34,10,4,Evening
