event_type,duration,engagement_level,text_data,location,time_of_day,overloaded
Meeting,45,4,Relaxing with family,Gym,Afternoon,1
Meeting,30,5,Gym session with trainer,Office,Morning,0
Exercise,60,3,Deep work session,Home,Morning,0
Exercise,90,5,Coding session,Outdoor,Morning,1
Exercise,20,1,Casual online chat,Office,Afternoon,0
Meeting,45,4,Daily long commute,Home,Morning,1
Social Interaction,15,3,Engaging lecture,Office,Afternoon,0
Break,90,4,Discuss project details,Outdoor,Afternoon,1
Meeting,120,4,Stressful work deadline,Outdoor,Afternoon,1
Commute,120,1,Customer support call,Outdoor,Afternoon,0
Casual Lunch,12,5,Relaxing with family,Office,Afternoon,0
Social Interaction,120,5,Focused reading session,Home,Evening,1
Break,12,5,Relaxing with family,Home,Evening,0
Casual Lunch,90,4,Deep work session,Outdoor,Afternoon,1
Break,60,4,Late-night project work,Outdoor,Morning,1
Exercise,60,4,Focused reading session,Gym,Morning,1
Exercise,75,5,Engaging lecture,Office,Afternoon,1
Meeting,75,4,Engaging lecture,Gym,Morning,1
Exercise,45,4,Lunch meeting with potential clients,Home,Afternoon,1
Exercise,60,4,Stressful work deadline,Home,Evening,1
Commute,15,3,Coding session,Gym,Morning,0
Exercise,75,5,Coding session,Outdoor,Morning,1
Social Interaction,45,5,Meditation and relaxation,Outdoor,Afternoon,1
Meeting,90,4,Board meeting with executives,Office,Evening,1
Commute,60,5,Focused reading session,Office,Evening,1
Casual Lunch,60,5,Went for a long walk,Gym,Afternoon,1
Social Interaction,60,5,Late-night project work,Gym,Evening,1
Meeting,90,5,Chat with close friends,Office,Morning,1
Social Interaction,30,3,Strategic planning,Home,Morning,0
Exercise,75,5,Lunch meeting with potential clients,Home,Evening,1
Social Interaction,15,3,Chat with close friends,Office,Afternoon,0
Commute,120,4,Social gathering,Outdoor,Evening,1
Meeting,30,1,Meditation and relaxation,Office,Morning,0
Break,12,3,Discuss project details,Outdoor,Evening,0
Social Interaction,60,2,Board meeting with executives,Gym,Morning,0
Exercise,90,5,Coding session,Home,Evening,1
Commute,75,4,Networking with professionals,Office,Afternoon,1
Casual Lunch,12,3,Quick coffee break,Office,Afternoon,0
Casual Lunch,90,4,Relaxing with family,Outdoor,Morning,1
Break,15,5,Deep work session,Office,Morning,0
Break,60,4,Casual online chat,Office,Morning,1
Break,45,3,Engaging lecture,Gym,Afternoon,0
Break,45,2,Strategic planning,Office,Evening,0
Meeting,60,5,Lunch meeting with potential clients,Outdoor,Afternoon,1
Commute,20,5,Late-night project work,Office,Morning,0
Casual Lunch,75,4,Relaxing with family,Gym,Morning,1
Commute,12,3,Strategic planning,Outdoor,Morning,0
Exercise,20,3,Casual dinner conversation,Gym,Afternoon,0
Meeting,75,4,Focused reading session,Home,Afternoon,1
Break,90,3,Quick coffee break,Outdoor,Afternoon,0
Social Interaction,90,4,Focused reading session,Home,Evening,1
Exercise,15,5,Focused reading session,Gym,Evening,0
Casual Lunch,90,4,Social gathering,Gym,Afternoon,1
Commute,120,5,Board meeting with executives,Outdoor,Morning,1
Commute,75,4,Public speaking event,Office,Morning,1
Meeting,60,5,Deep work session,Home,Morning,1
Social Interaction,20,3,Meditation and relaxation,Office,Evening,0
Commute,75,3,Networking with professionals,Office,Morning,0
Casual Lunch,75,4,Casual online chat,Outdoor,Morning,1
Exercise,120,4,Engaging lecture,Gym,Morning,1
Casual Lunch,120,4,Networking with professionals,Gym,Morning,1
Casual Lunch,90,4,Gym session with trainer,Gym,Afternoon,1
Exercise,30,5,Casual dinner conversation,Gym,Morning,0
Social Interaction,45,1,Public speaking event,Home,Morning,0
Break,120,4,Quick coffee break,Office,Morning,1
Commute,120,5,Meditation and relaxation,Office,Morning,1
Social Interaction,45,4,Relaxing with family,Gym,Evening,1
Casual Lunch,30,2,Engaging lecture,Outdoor,Afternoon,0
Commute,120,4,Board meeting with executives,Office,Evening,1
Break,15,5,Casual dinner conversation,Office,Evening,0
Commute,60,4,Daily long commute,Home,Afternoon,1
Break,75,3,Chat with close friends,Outdoor,Afternoon,0
Casual Lunch,12,4,Chat with close friends,Gym,Morning,0
Exercise,75,4,Intense workout session,Office,Afternoon,1
Exercise,20,1,Presentation preparation,Home,Afternoon,0
Break,75,4,Discuss project details,Gym,Evening,1
Break,60,4,Client negotiation meeting,Outdoor,Morning,1
Meeting,75,2,Team-building activity,Office,Morning,0
Exercise,60,3,Relaxing with family,Gym,Morning,0
Casual Lunch,90,4,Intense workout session,Home,Morning,1
Meeting,90,5,Intense workout session,Office,Afternoon,1
Break,30,1,Engaging lecture,Gym,Afternoon,0
Meeting,12,1,Public speaking event,Outdoor,Morning,0
Break,45,5,Casual dinner conversation,Outdoor,Morning,1
Break,20,1,Customer support call,Home,Morning,0
Social Interaction,12,2,Team-building activity,Home,Evening,0
Social Interaction,60,5,Deep work session,Home,Morning,1
Meeting,45,4,Outdoor adventure,Gym,Morning,1
Casual Lunch,60,5,Late-night project work,Gym,Afternoon,1
Commute,45,2,Intense workout session,Gym,Morning,0
Meeting,12,4,Relaxing with family,Outdoor,Morning,0
Social Interaction,60,4,Focused reading session,Office,Morning,1
Commute,60,4,Gym session with trainer,Gym,Morning,1
Commute,15,3,Went for a long walk,Office,Morning,0
Social Interaction,75,5,Daily long commute,Gym,Morning,1
Exercise,90,2,Relaxing with family,Home,Morning,0
Casual Lunch,75,4,Casual online chat,Home,Morning,1
Social Interaction,75,4,Social gathering,Office,Morning,1
Commute,45,4,Deep work session,Home,Afternoon,1
Break,20,3,Chat with close friends,Gym,Morning,0
Social Interaction,45,5,Strategic planning,Office,Morning,1
Casual Lunch,15,5,Networking with professionals,Home,Morning,0
Commute,60,5,Discuss project details,Office,Evening,1
Exercise,90,5,Deep work session,Gym,Afternoon,1
Break,90,4,Stressful work deadline,Home,Evening,1
Commute,60,4,Public speaking event,Outdoor,Afternoon,1
Break,75,4,Intense workout session,Office,Evening,1
Exercise,20,1,Intense workout session,Home,Evening,0
Break,60,5,Team-building activity,Gym,Morning,1
Commute,30,4,Outdoor adventure,Outdoor,Morning,0
Meeting,120,5,Client negotiation meeting,Home,Morning,1
Meeting,30,5,Meditation and relaxation,Outdoor,Morning,0
Meeting,45,4,Board meeting with executives,Office,Evening,1
Casual Lunch,90,5,Casual dinner conversation,Gym,Morning,1
Social Interaction,30,4,Lunch meeting with potential clients,Outdoor,Afternoon,0
Break,60,3,Late-night project work,Gym,Morning,0
Casual Lunch,12,5,Focused reading session,Home,Afternoon,0
Commute,75,4,Quick coffee break,Home,Morning,1
Meeting,45,5,Outdoor adventure,Gym,Morning,1
Break,30,5,Daily long commute,Gym,Morning,0
Social Interaction,60,4,Gym session with trainer,Office,Afternoon,1
