user_id,timestamp,event_type,duration,engagement_level,text_data,location,time_of_day
user_174,2023-10-08 21:52:00,Social Interaction,12,4,Relaxing at home,Home,Evening
324,2023-10-07 17:15:00,Commute,20,2,Had a coffee break,Office,Afternoon
user_291,2023-10-18 13:56:00,Exercise,15,4,Networking event,Gym,Afternoon
user_189,2023-10-08 05:11:00,Social Interaction,15,2,Workout session,Outdoor,Morning
300,2023-10-26 17:08:00,Social Interaction,15,4,Lunch with colleagues,Outdoor,Afternoon
user_459,2023-10-14 09:20:00,Commute,12,3,Went for a walk,Gym,Morning
312,2023-10-04 21:47:00,Casual Lunch,45,3,Discuss project,Outdoor,Evening
user_500,2023-10-18 00:19:00,Casual Lunch,60,1,Lunch with colleagues,Outdoor,Morning
609,2023-10-24 22:39:00,Meeting,15,1,Long commute,Home,Evening
795,2023-10-12 15:16:00,Social Interaction,30,1,Client meeting,Office,Afternoon
18,2023-10-05 01:40:00,Commute,60,5,Client meeting,Home,Morning
user_460,2023-10-28 04:39:00,Meeting,30,1,Lunch with colleagues,Office,Morning
user_492,2023-10-04 04:48:00,Meeting,60,5,Solo reading session,Outdoor,Morning
424,2023-10-30 02:26:00,Social Interaction,15,5,Relaxing at home,Outdoor,Morning
user_260,2023-10-17 21:31:00,Commute,60,1,Lunch with colleagues,Office,Evening
user_64,2023-10-13 10:40:00,Social Interaction,15,2,Went for a walk,Home,Morning
412,2023-10-26 06:21:00,Casual Lunch,15,3,Casual chat with friends,Gym,Morning
85,2023-10-11 18:40:00,Commute,15,2,Had a coffee break,Office,Evening
user_370,2023-10-27 07:43:00,Commute,45,2,Long commute,Outdoor,Morning
user_430,2023-10-27 08:44:00,Exercise,60,3,Discuss project,Home,Morning
590,2023-10-23 11:30:00,Commute,45,1,Went for a walk,Office,Morning
201,2023-10-08 02:05:00,Commute,15,5,Had a coffee break,Outdoor,Morning
user_328,2023-10-19 03:40:00,Meeting,30,2,Long commute,Outdoor,Morning
user_481,2023-10-14 02:46:00,Commute,45,1,Had a coffee break,Home,Morning
user_310,2023-10-11 23:15:00,Casual Lunch,30,5,Went for a walk,Outdoor,Evening
250,2023-10-05 13:38:00,Break,30,3,Relaxing at home,Outdoor,Afternoon
803,2023-10-11 22:04:00,Break,30,2,Long commute,Gym,Evening
376,2023-10-11 04:04:00,Exercise,12,1,Networking event,Gym,Morning
user_404,2023-10-22 13:36:00,Commute,30,1,Went for a walk,Home,Afternoon
user_266,2023-10-04 22:34:00,Casual Lunch,30,5,Casual chat with friends,Office,Evening
688,2023-10-04 10:34:00,Break,30,4,Lunch with colleagues,Office,Morning
92,2023-10-06 10:07:00,Casual Lunch,20,4,Networking event,Outdoor,Morning
700,2023-10-27 07:00:00,Casual Lunch,60,4,Long commute,Outdoor,Morning
620,2023-10-24 16:46:00,Casual Lunch,15,5,Lunch with colleagues,Outdoor,Afternoon
user_92,2023-10-05 02:26:00,Break,30,2,Lunch with colleagues,Office,Morning
user_278,2023-10-05 00:25:00,Meeting,15,1,Lunch with colleagues,Gym,Morning
user_491,2023-10-21 04:20:00,Break,60,4,Had a coffee break,Gym,Morning
977,2023-10-10 23:29:00,Commute,30,2,Networking event,Outdoor,Evening
72,2023-10-16 07:47:00,Casual Lunch,12,3,Long commute,Outdoor,Morning
user_38,2023-10-11 13:32:00,Social Interaction,12,3,Discuss project,Outdoor,Afternoon
252,2023-10-16 14:38:00,Casual Lunch,20,1,Long commute,Outdoor,Afternoon
user_310,2023-10-13 06:33:00,Meeting,20,1,Client meeting,Office,Morning
333,2023-10-06 09:19:00,Commute,20,1,Casual chat with friends,Home,Morning
230,2023-10-30 20:47:00,Casual Lunch,60,2,Workout session,Office,Evening
919,2023-10-04 15:57:00,Casual Lunch,20,4,Networking event,Office,Afternoon
23,2023-10-10 21:26:00,Casual Lunch,12,1,Lunch with colleagues,Office,Evening
482,2023-10-15 05:40:00,Break,45,5,Discuss project,Gym,Morning
user_168,2023-10-25 13:02:00,Casual Lunch,12,2,Team brainstorming,Home,Afternoon
492,2023-10-13 01:58:00,Commute,45,5,Long commute,Office,Morning
user_337,2023-10-18 19:49:00,Social Interaction,60,1,Discuss project,Office,Evening
515,2023-10-18 08:24:00,Break,60,1,Went for a walk,Office,Morning
416,2023-10-17 04:54:00,Break,30,1,Went for a walk,Home,Morning
user_85,2023-10-28 06:38:00,Break,60,4,Team brainstorming,Outdoor,Morning
user_51,2023-10-14 02:49:00,Social Interaction,12,2,Solo reading session,Office,Morning
291,2023-10-10 15:49:00,Break,60,5,Discuss project,Office,Afternoon
962,2023-10-27 16:29:00,Break,45,1,Went for a walk,Home,Afternoon
user_215,2023-10-21 06:48:00,Casual Lunch,15,1,Lunch with colleagues,Home,Morning
user_106,2023-10-08 01:01:00,Meeting,60,1,Solo reading session,Home,Morning
853,2023-10-23 07:17:00,Casual Lunch,20,2,Networking event,Office,Morning
241,2023-10-24 10:01:00,Social Interaction,12,2,Relaxing at home,Outdoor,Morning
user_286,2023-10-03 13:33:00,Meeting,12,5,Relaxing at home,Home,Afternoon
169,2023-10-09 11:53:00,Break,30,5,Casual chat with friends,Office,Morning
user_137,2023-10-20 13:05:00,Social Interaction,60,4,Long commute,Home,Afternoon
user_207,2023-10-09 21:08:00,Casual Lunch,15,1,Networking event,Outdoor,Evening
user_2,2023-10-09 07:40:00,Meeting,15,1,Casual chat with friends,Home,Morning
284,2023-10-18 20:41:00,Meeting,45,3,Casual chat with friends,Outdoor,Evening
user_193,2023-10-16 13:23:00,Meeting,12,1,Long commute,Office,Afternoon
user_449,2023-10-20 12:26:00,Break,15,4,Solo reading session,Home,Afternoon
101,2023-10-30 19:31:00,Break,12,3,Long commute,Outdoor,Evening
user_16,2023-10-04 06:25:00,Break,20,2,Lunch with colleagues,Home,Morning
223,2023-10-24 04:47:00,Commute,30,1,Relaxing at home,Gym,Morning
user_426,2023-10-02 23:49:00,Meeting,20,3,Team brainstorming,Outdoor,Evening
213,2023-10-08 16:33:00,Social Interaction,45,3,Networking event,Gym,Afternoon
user_376,2023-10-14 15:21:00,Meeting,12,3,Client meeting,Home,Afternoon
177,2023-10-08 07:31:00,Exercise,45,5,Casual chat with friends,Home,Morning
378,2023-10-06 13:44:00,Social Interaction,30,4,Lunch with colleagues,Outdoor,Afternoon
307,2023-10-16 03:53:00,Commute,45,1,Casual chat with friends,Home,Morning
user_75,2023-10-07 09:10:00,Exercise,45,3,Long commute,Home,Morning
user_180,2023-10-09 10:42:00,Meeting,12,4,Long commute,Outdoor,Morning
909,2023-10-10 22:33:00,Social Interaction,45,5,Client meeting,Office,Evening
416,2023-10-21 04:36:00,Exercise,15,2,Relaxing at home,Outdoor,Morning
497,2023-10-03 23:05:00,Casual Lunch,30,1,Relaxing at home,Gym,Evening
268,2023-10-15 04:37:00,Social Interaction,15,2,Relaxing at home,Gym,Morning
user_177,2023-10-09 00:23:00,Break,20,4,Had a coffee break,Office,Morning
74,2023-10-30 07:28:00,Exercise,60,3,Team brainstorming,Home,Morning
user_461,2023-10-25 12:35:00,Social Interaction,12,2,Lunch with colleagues,Home,Afternoon
591,2023-10-30 11:28:00,Exercise,45,3,Long commute,Gym,Morning
user_88,2023-10-22 09:16:00,Casual Lunch,60,2,Discuss project,Home,Morning
450,2023-10-03 07:06:00,Meeting,45,3,Lunch with colleagues,Office,Morning
453,2023-10-20 01:48:00,Social Interaction,45,1,Solo reading session,Outdoor,Morning
user_149,2023-10-05 08:41:00,Social Interaction,60,5,Went for a walk,Gym,Morning
user_25,2023-10-13 02:56:00,Exercise,30,3,Team brainstorming,Gym,Morning
723,2023-10-17 15:28:00,Casual Lunch,45,4,Lunch with colleagues,Home,Afternoon
